"name","points","speed","dist","dist_points","note_points","id","round","wind_comp","gate_points"
"104705","kytosaho niko",114.1,92.3,117.5,55.5,51,"2021JP3004RLQ","qualification",7.6,0
"104706","geiger karl",113.2,92.4,114,49.2,50.5,"2021JP3004RLQ","qualification",13.5,0
"104707","aigro artti",113.1,92.2,123.5,66.3,51,"2021JP3004RLQ","qualification",-4.2,0
"104708","hayboeck michael",111.8,92.6,113,47.4,49.5,"2021JP3004RLQ","qualification",14.9,0
"104709","freund severin",111.2,92.5,116.5,53.7,51.5,"2021JP3004RLQ","qualification",6,0
"104710","freitag richard",111,91.4,119,58.2,51.5,"2021JP3004RLQ","qualification",1.3,0
"104711","schmid constantin",110.7,92.5,115,51,52,"2021JP3004RLQ","qualification",7.7,0
"104712","lindvik marius",110.5,92.2,110.5,42.9,50,"2021JP3004RLQ","qualification",17.6,0
"104713","kobayashi junshiro",110.1,92.1,111.5,44.7,49.5,"2021JP3004RLQ","qualification",15.9,0
"104714","hoerl jan",109.6,91.8,113,47.4,51,"2021JP3004RLQ","qualification",11.2,0
"104715","tande daniel andre",108.1,92.4,112.5,46.5,50.5,"2021JP3004RLQ","qualification",11.1,0
"104716","klimov evgeniy",107.8,92.3,110.5,42.9,49.5,"2021JP3004RLQ","qualification",15.4,0
"104717","eisenbichler markus",107.5,91.9,114,49.2,51,"2021JP3004RLQ","qualification",7.3,0
"104718","prevc domen",105.7,92.7,111,43.8,50.5,"2021JP3004RLQ","qualification",11.4,0
"104719","pavlovcic bor",104.7,92.5,115,51,49.5,"2021JP3004RLQ","qualification",4.2,0
"104720","nakamura naoki",102.6,92.3,109,40.2,49.5,"2021JP3004RLQ","qualification",12.9,0
"104721","hamann martin",101,92.3,108.5,39.3,48,"2021JP3004RLQ","qualification",13.7,0
"104722","eriksen sander vossan",100.5,91.9,110,42,49.5,"2021JP3004RLQ","qualification",9,0
"104723","schiffner markus",100.4,92.5,110,42,49,"2021JP3004RLQ","qualification",9.4,0
"104724","ammann simon",100.3,91.8,113.5,48.3,51,"2021JP3004RLQ","qualification",1,0
"104725","zografski vladimir",98.5,91.1,110.5,42.9,49.5,"2021JP3004RLQ","qualification",6.1,0
"104726","wellinger andreas",97.8,92.2,111.5,44.7,51,"2021JP3004RLQ","qualification",2.1,0
"104727","polasek viktor",97.7,91.4,111.5,44.7,48,"2021JP3004RLQ","qualification",5,0
"104728","lackner thomas",96.6,92.2,107.5,37.5,49,"2021JP3004RLQ","qualification",10.1,0
"104729","foubert valentin",96.4,92,111,43.8,50.5,"2021JP3004RLQ","qualification",2.1,0
"104730","siegel david",95.9,92,110,42,49.5,"2021JP3004RLQ","qualification",4.4,0
"104731","roth luca",95.8,91.9,104.5,32.1,48,"2021JP3004RLQ","qualification",15.7,0
