"season","codex","hill_size_x","k.point","meter.value","gate.factor","wind.factor","id","training","place","gender","hill_size_y","team","type","date"
"167",2014,3736,117,105,1.8,6.32,7.29,"2014JP3736RTRIA",1,"Einsiedeln (SUI)","Men",117,0,2,"2013-08-17"
"168",2014,3736,117,105,1.8,6.32,7.29,"2014JP3736RLT",1,"Einsiedeln (SUI)","Men",117,0,2,"2013-08-17"
"169",2014,3736,117,105,1.8,6.32,7.29,"2014JP3736RL",0,"Einsiedeln (SUI)","Men",117,0,2,"2013-08-17"
"170",2014,3733,132,120,1.8,8.82,12.6,"2014JP3733RTRIA",1,"Courchevel (FRA)","Men",132,0,2,"2013-08-15"
"171",2014,3733,132,120,1.8,8.82,12.6,"2014JP3733RLT",1,"Courchevel (FRA)","Men",132,0,2,"2013-08-15"
"172",2014,3733,132,120,1.8,8.82,12.6,"2014JP3733RLQ",0,"Courchevel (FRA)","Men",132,0,2,"2013-08-15"
"173",2014,3733,132,120,1.8,8.82,12.6,"2014JP3733RL",0,"Courchevel (FRA)","Men",132,0,2,"2013-08-15"
"174",2014,3732,96,90,2,7,8,"2014JP3732RTRIA",1,"Courchevel (FRA)","Women",96,0,2,"2013-08-15"
"175",2014,3732,96,90,2,7,8,"2014JP3732RLT",1,"Courchevel (FRA)","Women",96,0,2,"2013-08-15"
"176",2014,3732,96,90,2,7,8,"2014JP3732RL",0,"Courchevel (FRA)","Women",96,0,2,"2013-08-15"
"177",2014,3731,132,120,1.8,8.82,12.6,"2014JP3731RTRIA",1,"Courchevel (FRA)","Mix",132,1,2,"2013-08-14"
"178",2014,3731,132,120,1.8,8.82,12.6,"2014JP3731RLT",1,"Courchevel (FRA)","Mix",132,1,2,"2013-08-14"
"179",2014,3731,132,120,1.8,8.82,12.6,"2014JP3731RL",0,"Courchevel (FRA)","Mix",132,1,2,"2013-08-14"
"180",2014,3722,134,120,1.8,7.24,8.82,"2014JP3722RLT",1,"Wisla (POL)","Men",134,0,2,"2013-08-01"
"181",2014,3722,134,120,1.8,7.24,8.82,"2014JP3722RLQ",0,"Wisla (POL)","Men",134,0,2,"2013-08-01"
"182",2014,3721,134,120,1.8,7.24,8.82,"2014JP3721RTRIA",1,"Wisla (POL)","Men",134,0,2,"2013-08-03"
"183",2014,3721,134,120,1.8,7.24,8.82,"2014JP3721RL",0,"Wisla (POL)","Men",134,0,2,"2013-08-03"
"184",2014,3720,134,120,1.8,7.24,8.82,"2014JP3720RTRIA",1,"Wisla (POL)","Men",134,1,2,"2013-08-02"
"185",2014,3720,134,120,1.8,7.24,8.82,"2014JP3720RL",0,"Wisla (POL)","Men",134,1,2,"2013-08-02"
"186",2014,3717,108,95,2,6.48,7.2,"2014JP3717RTRIA",1,"Hinterzarten (GER)","Men",108,0,2,"2013-07-28"
