Province_State;Country_Region;Confirmed;Deaths;Recovered;Active
Tokushima;Japan;385;14;291;80
Tokyo;Japan;99909;883;83768;15258
Tottori;Japan;200;2;161;37
Toyama;Japan;875;27;783;65
Wakayama;Japan;1063;14;902;147
Yamagata;Japan;506;13;430;63
Yamaguchi;Japan;1235;21;837;377
Yamanashi;Japan;902;15;840;47
Jordan;Jordan;326855;4316;314581;7958
Kazakhstan;Kazakhstan;235844;3046;204668;28130
Kenya;Kenya;100773;1763;83907;15103
Korea, South;Korea, South;78508;1425;68309;8774
Kosovo;Kosovo;60218;1498;52439;6281
Kuwait;Kuwait;165257;959;157931;6367
Kyrgyzstan;Kyrgyzstan;84588;1412;80987;2189
Laos;Laos;44;0;41;3
Latvia;Latvia;66241;1195;54686;10360
Lebanon;Lebanon;301052;3082;180877;117093
