"","id","name","points","speed","dist","dist_points","note_points","round","wind_comp","gate_points","season","place","gender"
"165","2021JP3002RL","kozisek cestmir",159.7,104.3,194.5,113.4,50.5,"1st round",-4.2,0,2021,"Planica (SLO)","Men"
"166","2021JP3002RL","kahofer timon-pascal",151.4,104.6,181.5,97.8,46.5,"1st round",7.1,0,2021,"Planica (SLO)","Men"
"167","2021JP3002RL","nakamura naoki",151.3,103.6,185.5,102.6,48.5,"1st round",0.2,0,2021,"Planica (SLO)","Men"
"168","2021JP3002RL","nousiainen eetu",148.9,103.2,183.5,100.2,48,"1st round",0.7,0,2021,"Planica (SLO)","Men"
"169","2021JP3002RL","maatta jarkko",143.8,103.6,174.5,89.4,48,"1st round",6.4,0,2021,"Planica (SLO)","Men"
"170","2021JP3002RL","kalinichenko vitaliy",143.4,103.9,176.5,91.8,46.5,"1st round",5.1,0,2021,"Planica (SLO)","Men"
"171","2021JP3002RL","larson casey",141.5,103.3,181.5,97.8,48,"1st round",-4.3,0,2021,"Planica (SLO)","Men"
"172","2021JP3002RL","insam alex",134.3,103.6,179.5,95.4,44.5,"1st round",-5.6,0,2021,"Planica (SLO)","Men"
"173","2021JP3003RL","tande daniel andre",213.7,105.1,227.5,153,56,"1st round",4.7,0,2021,"Planica (SLO)","Men"
"174","2021JP3003RL","tande daniel andre",212.2,105.4,225.5,150.6,56,"final round",5.6,0,2021,"Planica (SLO)","Men"
"175","2021JP3003RL","forfang johann andre",198.5,104.6,217,140.4,53,"1st round",5.1,0,2021,"Planica (SLO)","Men"
"176","2021JP3003RL","forfang johann andre",181,104.9,202.5,123,50.5,"final round",7.5,0,2021,"Planica (SLO)","Men"
"177","2021JP3003RL","johansson robert",212.4,104.7,220,144,54,"1st round",5.2,9.2,2021,"Planica (SLO)","Men"
"178","2021JP3003RL","johansson robert",221.5,104.6,229.5,155.4,55.5,"final round",1.4,9.2,2021,"Planica (SLO)","Men"
"179","2021JP3003RL","granerud halvor egner",238.3,103.6,235,162,55,"1st round",3,18.3,2021,"Planica (SLO)","Men"
"180","2021JP3003RL","granerud halvor egner",250.1,103.2,234.5,161.4,58.5,"final round",2.8,27.4,2021,"Planica (SLO)","Men"
"181","2021JP3003RL","schmid constantin",205.2,105.6,220.5,144.6,54.5,"1st round",6.1,0,2021,"Planica (SLO)","Men"
"182","2021JP3003RL","schmid constantin",184.8,105.5,207.5,129,52.5,"final round",3.3,0,2021,"Planica (SLO)","Men"
"183","2021JP3003RL","paschke pius",201.1,105,220,144,54,"1st round",3.1,0,2021,"Planica (SLO)","Men"
"184","2021JP3003RL","paschke pius",206.8,104.9,223.5,148.2,53.5,"final round",5.1,0,2021,"Planica (SLO)","Men"
"185","2021JP3003RL","eisenbichler markus",227.3,104.8,230,156,55.5,"1st round",6.6,9.2,2021,"Planica (SLO)","Men"
"186","2021JP3003RL","eisenbichler markus",226.6,104.8,236.5,163.8,54,"final round",-0.4,9.2,2021,"Planica (SLO)","Men"
"187","2021JP3003RL","geiger karl",240.4,104.3,238,165.6,56,"1st round",0.5,18.3,2021,"Planica (SLO)","Men"
"188","2021JP3003RL","geiger karl",216.3,103.9,224.5,149.4,56,"final round",1.7,9.2,2021,"Planica (SLO)","Men"
"189","2021JP3003RL","zyla piotr",212.2,104.9,226,151.2,54,"1st round",7,0,2021,"Planica (SLO)","Men"
"190","2021JP3003RL","zyla piotr",219.4,104.9,234,160.8,55.5,"final round",3.1,0,2021,"Planica (SLO)","Men"
"191","2021JP3003RL","stekala andrzej",214,105,228,153.6,56,"1st round",4.4,0,2021,"Planica (SLO)","Men"
"192","2021JP3003RL","stekala andrzej",216.2,105,229,154.8,55.5,"final round",5.9,0,2021,"Planica (SLO)","Men"
"193","2021JP3003RL","stoch kamil",194.6,103.7,205.5,126.6,52.5,"1st round",6.3,9.2,2021,"Planica (SLO)","Men"
