saison;spieltag;spiel;tore_mannschaft1;tore_mannschaft2
18/19;1;1;26;27
18/19;1;2;21;18
18/19;1;3;23;28
18/19;1;4;28;31
18/19;1;5;28;21
18/19;1;6;24;21
18/19;1;7;25;26
18/19;1;8;27;23
18/19;1;9;27;21
18/19;2;1;26;15
18/19;2;2;29;27
18/19;2;3;25;24
18/19;2;4;20;26
18/19;2;5;19;26
18/19;2;6;28;20
18/19;2;7;30;22
18/19;2;8;29;26
18/19;2;9;24;33
18/19;3;1;28;24
18/19;3;2;25;30
18/19;3;3;26;31
18/19;3;4;31;24
18/19;3;5;34;26
18/19;3;6;27;26
18/19;3;7;29;28
18/19;3;8;35;26
18/19;3;9;31;28
18/19;4;1;30;16
18/19;4;2;30;28
18/19;4;3;26;25
18/19;4;4;24;25
18/19;4;5;30;25
18/19;4;6;32;27
18/19;4;7;35;27
18/19;4;8;21;36
18/19;4;9;26;30
18/19;5;1;35;23
18/19;5;2;29;28
18/19;5;3;26;34
18/19;5;4;29;22
18/19;5;5;31;25
18/19;5;6;34;20
18/19;5;7;24;24
18/19;5;8;20;31
18/19;5;9;35;26
18/19;6;1;40;31
18/19;6;2;22;27
18/19;6;3;33;27
18/19;6;4;21;23
18/19;6;5;33;28
18/19;6;6;21;25
18/19;6;7;30;29
18/19;6;8;30;31
18/19;6;9;24;27
18/19;7;1;37;20
18/19;7;2;29;28
18/19;7;3;30;28
18/19;7;4;23;25
18/19;7;5;27;24
18/19;7;6;25;26
18/19;7;7;20;24
18/19;7;8;38;25
18/19;7;9;26;23
18/19;8;1;30;24
18/19;8;2;34;23
18/19;8;3;25;27
18/19;8;4;28;36
18/19;8;5;26;26
18/19;8;6;23;25
18/19;8;7;24;25
18/19;8;8;26;27
18/19;8;9;25;22
18/19;9;1;29;19
18/19;9;2;29;21
18/19;9;3;27;38
18/19;9;4;27;23
18/19;9;5;29;23
18/19;9;6;26;24
18/19;9;7;32;27
18/19;9;8;28;21
18/19;9;9;25;28
18/19;10;1;28;30
18/19;10;2;37;34
18/19;10;3;26;21
18/19;10;4;23;23
18/19;10;5;28;25
18/19;10;6;31;25
18/19;10;7;31;25
18/19;10;8;26;23
18/19;10;9;20;21
18/19;11;1;26;25
18/19;11;2;25;30
18/19;11;3;28;25
18/19;11;4;23;24
18/19;11;5;25;30
18/19;11;6;29;36
18/19;11;7;29;25
18/19;11;8;29;37
18/19;11;9;19;24
18/19;12;1;24;29
18/19;12;2;20;33
18/19;12;3;27;40
18/19;12;4;30;26
18/19;12;5;30;28
18/19;12;6;26;25
18/19;12;7;26;31
18/19;12;8;28;26
18/19;12;9;29;26
18/19;13;1;29;24
18/19;13;2;24;26
18/19;13;3;26;27
18/19;13;4;23;27
18/19;13;5;24;22
18/19;13;6;35;26
18/19;13;7;27;24
18/19;13;8;27;20
18/19;13;9;31;25
18/19;14;1;31;26
18/19;14;2;26;22
18/19;14;3;27;26
18/19;14;4;23;33
18/19;14;5;25;28
18/19;14;6;29;24
18/19;14;7;29;33
18/19;14;8;30;19
18/19;14;9;32;29
18/19;15;1;28;29
18/19;15;2;30;26
18/19;15;3;24;23
18/19;15;4;21;28
18/19;15;5;25;32
18/19;15;6;30;29
18/19;15;7;40;28
18/19;15;8;40;27
18/19;15;9;26;22
18/19;16;1;32;19
18/19;16;2;28;22
18/19;16;3;30;26
18/19;16;4;18;24
18/19;16;5;20;29
18/19;16;6;24;26
18/19;16;7;26;21
18/19;16;8;29;28
18/19;16;9;22;22
18/19;17;1;35;30
18/19;17;2;26;27
18/19;17;3;31;26
18/19;17;4;29;23
